word,count
*,9210
),8637
(,8628
;,7295
",",5279
/,3405
=,2570
``,2465
},2322
{,2322
'',2291
#,1867
if,1747
>,1519
[,1213
],1207
%,1161
0,1132
<,1114
int,1006
&,920
1,802
==,789
:,747
',700
char,693
!,679
include,601
i,597
else,589
void,586
the,538
define,533
printf,509
--,477
s,399
.,395
return,393
argv,388
for,383
of,376
to,348
exit,335
a,307
res,303
2,293
static,285
and,283
endif,280
is,274
error,274
NULL,265
-1,265
stderr,263
fprintf,253
-,251
perror,224
not,213
unsigned,205
sizeof,203
const,198
argc,196
\n,196
break,195
ifdef,194
file,193
s\n,193
+,188
long,185
case,181
c,180
or,174
3,172
p,169
in,155
|,149
j,146
len,143
strcmp,138
fd,136
d,135
extern,134
struct,131
||,131
buffer,128
list,125
msg,122
oc,117
co,115
on,114
x,111
size,109
SOC_OK,108
Vprintf,108
with,105
this,102
i++,102
list-,101
while,101
?,98
buff,95
Can,94
start,93
'\0,93
str,93
that,90
stdio.h,90
message,89
soc,89
next,86
TRUE,84
car,83
double,82
socket,82
name,82
main,81
usage,81
float,81
stdlib.h,77
number,74
from,73
strcpy,73
read,72
10,72
$,71
strlen,69
precision,69
be,68
boolean,68
it,67
arg,66
short,66
4,66
are,65
by,65
undef,64
val,63
data,63
do,62
Number,61
Void,61
port,61
ip,60
trace,60
ifndef,60
prev,60
pid,59
time,58
5,58
pos,57
The,57
n't,57
Error,57
cr,56
you,55
ERROR,55
Long_double,54
r,54
op++,54
mode,53
string.h,53
length,53
signal,52
at,51
typedef,51
\,51
echo,50
debug,50
tty_spec,50
file_name,50
no,49
ONE,49
n,49
1024,49
version,49
current,49
A,48
as,48
errno,48
FILE,48
line,48
FALSE,48
8,47
C,47
sprintf,46
date,46
can,46
b,46
set,46
d\n,46
pool,46
Usage,45
has,45
lab,45
port_no,45
OF,44
program,44
first,44
use,44
l,44
an,43
lan,43
rc,43
If,43
delta,42
oct,42
Check,42
malloc,41
setjmp,41
@,41
ip++,41
last,41
value,40
atoi,40
unistd.h,40
end,39
true,39
request-,39
format,39
new,39
dlist,39
++,39
timeval,39
ld,38
offset,38
ref,38
result,38
open,38
all,38
fd-,37
Unexpected,37
header,37
This,37
Signed,37
port_name,36
16,36
lan_name,36
above,36
argument,36
checktype,36
Invalid,36
host_name,35
__attribute__,35
output,35
mutex,35
OR,35
cur_com_cell-,35
may,35
false,34
u8,34
curr,34
sem_id,34
path,34
client,34
free,33
then,33
1000,32
addr,32
right,32
f,32
host,32
report,31
fopen,31
ARGS,31
terror,31
Esc,31
i_delta,31
fmissing,31
Diff,31
sig,31
F,31
command,30
...,30
mvprint,30
byte_size,30
one,30
get,30
dest,29
URL,29
defined,29
errno.h,29
THE,29
Sum,29
continue,29
following,29
digits,29
soc_send,29
key,29
string,29
index,29
your,29
num,28
strh,28
size_t,28
y,28
cell,28
default,28
extra,28
-+,28
ii,28
code,27
Maximum,27
9,27
any,27
does,27
than,27
regex,27
write,27
timeout_t,26
FATAL_ERROR_EXIT_CODE,26
compilers,26
request,26
c_flags,26
base,26
eek_a_bug,26
address,26
fclose,25
id,25
function,25
fatal,25
check,25
strcat,25
such,25
+=,25
proto,25
7,25
mark,25
Done,25
pp,25
GPL,25
failed,24
input,24
NUL,24
get_time,24
found,24
's,24
dump_rusage_str,24
ctx,24
22,24
fi,24
Get,24
v,24
op,24
cir_file,24
EOF,24
sys/types.h,23
trap,23
only,23
bytes,23
soc_token,23
__STDC__,23
byte,23
Added,23
semid,23
buf,23
enquire.c,23
must,23
store,23
printed_date,23
t_result,23
switch,23
circular,23
j++,23
but,23
arguments,23
source,22
missing,22
Minimum,22
left,22
help,22
enquire,22
Init,22
char_max,22
i_define,22
c1,22
current_page,22
used,22
info,22
ptf,22
==0,22
count,22
1.0,22
|=,22
gettimeofday,22
compiler,22
other,22
ERR,21
close,21
after,21
ok,21
have,21
soc_open,21
EXIT,21
ss,21
limits.h,21
..,21
ZERO,21
tab,21
us,21
under,21
Volatile,21
mm,21
values,21
No,21
ANY,20
hh,20
client_soc,20
'/,20
OK,20
isdigit,20
left-,20
tagurl,20
0.0,20
100,20
imagename,20
prog_name,20
2s,20
:=,20
VERIFY,20
t1,20
sscanf,20
provisions,20
each,20
so,20
matches,20
when,20
INT,19
stra,19
rep,19
t2,19
u,19
url,19
speed,19
out,19
h,19
debug2,19
EINTR,19
sig_handler,19
baton,19
curr-,19
tty_name,19
signed,19
eps,19
noreturn,19
Set,19
ebot,19
which,19
stdout,19
space,19
fseek,18
-o,18
req,18
normalised,18
right-,18
match,18
AND,18
apr_pool_t,18
digs,18
verbose,18
lit,18
segment,18
fname,18
6,18
stdin,18
system,18
more,18
cur_cli_cell-,18
thing,18
-=,18
zero,18
page,18
memory,18
get_line,18
02d,18
separator,18
circul_file,18
Yields,18
k,18
binary,18
sort,18
Parse,18
Syntax,18
-h,17
action,17
tm,17
undo,17
Read,17
copy,17
len++,17
curr_time_str,17
f_rep,17
SEEK_SET,17
I,17
f_radix,17
flags,17
tag,17
CIR_EOF,17
dos_file_name,17
started,17
flag,17
character,17
End,17
some,17
rev,17
notice,17
soc_length,17
call,17
Exit,17
MU_PAGE_SIZE,17
node,17
svn_error_t,17
hval,17
usleep,17
conditions,16
search,16
etop,16
cur_com_cell,16
signum,16
9ld,16
IN,16
cur_time,16
time_delta,16
type,16
sec,16
FLT_RADIX,16
setting,16
Verify,16
kfd,16
timeval.h,16
Close,16
float.h,16
different,16
destination,16
url_t,16
up,16
nsemnum,16
files,16
soc_receive,16
boolean.h,16
context,16
Store,16
date_str,16
without,16
hexa_side,16
sys/time.h,16
Some,16
args,16
unused,16
SVN_NO_ERROR,16
err,16
dlist_rewind,16
20,16
same,16
until,16
display_page,15
select,15
name_list,15
time.h,15
1000000,15
socket.h,15
delta_time,15
e,15
Create,15
PASS,15
50,15
part_last,15
soc_host,15
fo,15
tmp-,15
font,15
set_handler,15
tmp_file_name,15
run,15
bit,15
tty,15
unix_file_name,15
here,15
minimum,15
test.c,15
Returns,15
provided,15
i+1,15
INCLUDING,15
where,15
At,15
dlist_move,15
BUFFER_SIZE,15
current_page_size,15
wait,15
lg,15
shared,15
sem_key,15
using,14
SYNTAX,14
returns,14
Tcp,14
semctl,14
UCHAR_MAX,14
Socket,14
wrong,14
For,14
23,14
USAGE,14
soc_error,14
bits,14
V,14
soc_port,14
bugs,14
write_char,14
timeout,14
less_than,14
dfd,14
convert,14
prog,14
tv_usec,14
there,14
possible,14
tv_sec,14
shm,14
NOARGS,14
got,14
0L,14
cs,14
Start,14
average,14
15,14
oname,14
exp_time.tv_sec,14
numbers,14
ref++,13
received,13
-d,13
position,13
always,13
basename,13
day,13
sending,13
problem,13
strncpy,13
signal.h,13
revision,13
02X,13
CFLAGS,13
udp_socket,13
frame,13
FOR,13
addr1,13
11.6f,13
debug1,13
L,13
select_mask,13
read_file,13
like,13
lu,13
i_right,13
int_max,13
create,13
i_left,13
ctx_pool,13
time.tv_sec,13
Print,13
two,13
in_data,13
It,13
f_max,13
point,13
MAX_HDR_SIZE,13
file_des,13
empty,13
prec,13
them,13
hexa,13
node_p-,13
Fname,13
soc_set_dest_name_service,13
enum,13
we,13
char_min,13
val=,12
times,12
DEBUG,12
service_soc,12
F_check,12
target,12
_MAX,12
exponent,12
getting,12
pipe_fd,12
Display,12
ANSI,12
-a,12
rights,12
addr2,12
-f,12
returned,12
tm_date_p-,12
putchar,12
blocksize,12
tm_date_p,12
memcpy,12
LIBS,12
Abort.\n,12
t,12
f_min,12
copyright,12
dlist_read,12
dprec,12
SCHAR_MIN,12
sfd,12
SCHAR_MAX,12
me,12
MAX_MATCHES,12
time_t,12
chaine,12
circul_fd,12
f_rounds,12
between,12
allocated,12
allow,12
X.ptc,12
desc,12
union,12
either,12
MUT_OK,12
soc_message,12
period_sec,12
was,12
circular_file_name,12
11,12
file_index,12
say,11
synchro_msg,11
arg.buf-,11
severity,11
First,11
kind,11
You,11
buf1,11
see,11
modified,11
printed_delta,11
semnum,11
gotoxy,11
semaphore,11
answerbuf,11
print,11
send,11
-v,11
init_tty,11
dump_kind,11
getchar,11
also,11
option,11
Put,11
about,11
1c,11
AUTHOR,11
interval,11
forward,11
fprec,11
terms,11
pipe,11
ulong,11
-s,11
invalid,11
stdc,11
-l,11
TO,11
node_list,11
NOT,11
sub_time,11
otherwise,11
BUT,11
client_fd,11
Try,11
what,11
LENGTH,11
fd_set,11
overflow,11
cmd=,11
array,11
in_len,11
lprec,11
s.\n,11
alignment,11
flush,11
fp,11
f_epsilon,11
STDC,11
tmpdate,11
To,11
curr_time,11
data_size,11
find,11
NO_UI,11
init_soc,11
FILENAME,11
back,11
fails,11
been,11
previous,11
out_data,11
in_end,11
b0,11
dlist_get_pos,11
loop,11
hex,10
printed,10
pos_first,10
nearest,10
pos_last,10
/s,10
13,10
CHAR_BIT,10
sem,10
24,10
-+\n,10
messages,10
new_page,10
strstr,10
ipm,10
CHAR_MAX,10
10000,10
value-,10
opening,10
port_num,10
INVALID,10
init_rusage,10
realm,10
write_modif,10
Fixed,10
source_dest-,10
max,10
B,10
9d,10
CC,10
fchecktype,10
start++,10
thanks,10
IDX,10
handler,10
force,10
soc_link_service,10
disclaimer,10
Wrong,10
kill,10
these,10
already,10
USE,10
out_len,10
Div,10
BSD,10
LIABILITY,10
might,10
c2,10
mutex_t,10
THIS,10
SOFTWARE,10
flow,10
IS,10
fflush,10
col,10
Reads,10
dump,10
Current,10
256,10
off,10
WARRANTIES,10
constants,10
LIMITED,10
Write,10
25,10
s\n\n,10
structure,10
command_text,10
they,10
bugs++,10
maxint,10
will,10
soc_set_dest_name_port,10
Redistributions,10
cur_cli_cell,10
too,10
cprintf,10
